Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         2.000000	    0.997858	    0.997941
         4.000000	    0.995707	    0.995872
         6.000000	    0.993537	    0.993783
         8.000000	    0.991339	    0.991664
        10.000000	    0.989099	    0.989504
        12.000000	    0.986807	    0.987295
        14.000000	    0.984453	    0.985026
        16.000000	    0.982025	    0.982686
        18.000000	    0.979513	    0.980267
        20.000000	    0.976904	    0.977757
        22.000000	    0.974188	    0.975148
        24.000000	    0.971354	    0.972428
        26.000000	    0.968390	    0.969588
        28.000000	    0.965288	    0.966621
        30.000000	    0.962045	    0.963523
        32.000000	    0.958666	    0.960300
        34.000000	    0.955156	    0.956956
        36.000000	    0.951523	    0.953496
        38.000000	    0.947772	    0.949926
        40.000000	    0.943911	    0.946252
        42.000000	    0.939946	    0.942478
        44.000000	    0.935884	    0.938611
        46.000000	    0.931732	    0.934655
        48.000000	    0.927497	    0.930617
        50.000000	    0.923186	    0.926500
        52.000000	    0.918805	    0.922312
        54.000000	    0.914362	    0.918056
        56.000000	    0.909860	    0.913738
        58.000000	    0.905305	    0.909360
        60.000000	    0.900700	    0.904925
        62.000000	    0.896046	    0.900436
        64.000000	    0.891346	    0.895894
        66.000000	    0.886603	    0.891301
        68.000000	    0.881819	    0.886660
        70.000000	    0.876997	    0.881974
        72.000000	    0.872138	    0.877244
        74.000000	    0.867245	    0.872471
        76.000000	    0.862320	    0.867660
        78.000000	    0.857365	    0.862811
        80.000000	    0.852384	    0.857927
        82.000000	    0.847378	    0.853010
        84.000000	    0.842350	    0.848062
        86.000000	    0.837302	    0.843087
        88.000000	    0.832237	    0.838085
        90.000000	    0.827156	    0.833060
        92.000000	    0.822063	    0.828014
        94.000000	    0.816958	    0.822949
        96.000000	    0.811845	    0.817868
        98.000000	    0.806727	    0.812773
       100.000000	    0.801604	    0.807666
       102.000000	    0.796480	    0.802550
       104.000000	    0.791356	    0.797427
       106.000000	    0.786236	    0.792300
       108.000000	    0.781121	    0.787170
       110.000000	    0.776013	    0.782042
       112.000000	    0.770915	    0.776915
       114.000000	    0.765828	    0.771793
       116.000000	    0.760753	    0.766676
       118.000000	    0.755692	    0.761565
       120.000000	    0.750644	    0.756462
       122.000000	    0.745612	    0.751369
       124.000000	    0.740596	    0.746287
       126.000000	    0.735598	    0.741217
       128.000000	    0.730619	    0.736161
       130.000000	    0.725660	    0.731120
       132.000000	    0.720722	    0.726096
       134.000000	    0.715805	    0.721090
       136.000000	    0.710913	    0.716103
       138.000000	    0.706044	    0.711137
       140.000000	    0.701200	    0.706192
       142.000000	    0.696382	    0.701270
       144.000000	    0.691590	    0.696370
       146.000000	    0.686824	    0.691495
       148.000000	    0.682086	    0.686644
       150.000000	    0.677374	    0.681819
       152.000000	    0.672691	    0.677020
       154.000000	    0.668036	    0.672247
       156.000000	    0.663409	    0.667502
       158.000000	    0.658811	    0.662785
       160.000000	    0.654243	    0.658098
       162.000000	    0.649705	    0.653440
       164.000000	    0.645197	    0.648813
       166.000000	    0.640720	    0.644217
       168.000000	    0.636273	    0.639652
       170.000000	    0.631858	    0.635119
       172.000000	    0.627473	    0.630617
       174.000000	    0.623119	    0.626147
       176.000000	    0.618796	    0.621709
       178.000000	    0.614505	    0.617303
       180.000000	    0.610244	    0.612929
       182.000000	    0.606015	    0.608588
       184.000000	    0.601818	    0.604280
       186.000000	    0.597651	    0.600004
       188.000000	    0.593516	    0.595762
       190.000000	    0.589413	    0.591552
       192.000000	    0.585341	    0.587376
       194.000000	    0.581300	    0.583233
       196.000000	    0.577292	    0.579123
       198.000000	    0.573314	    0.575047
       200.000000	    0.569368	    0.571004
       202.000000	    0.565454	    0.566994
       204.000000	    0.561571	    0.563018
       206.000000	    0.557719	    0.559075
       208.000000	    0.553898	    0.555164
       210.000000	    0.550109	    0.551287
       212.000000	    0.546350	    0.547443
       214.000000	    0.542621	    0.543631
       216.000000	    0.538924	    0.539852
       218.000000	    0.535261	    0.536111
       220.000000	    0.531621	    0.532394
