"Piezo Voltage (V)";"Fast In 3 (V)";"Lock-In Out (V)";
32.024971;0.30296779;0;
32.07568;0.30277723;6.460795e-05;
32.126423;0.30281833;3.7255679e-05;
32.177177;0.30259204;-2.782386e-05;
32.227924;0.30280903;6.460795e-05;
32.278679;0.30271339;-4.4329539e-05;
32.329422;0.30260748;-4.7630678e-05;
32.380177;0.30247903;-2.1221589e-05;
32.430874;0.30254778;3.3011361e-06;
32.481621;0.30265883;-6.130681e-06;
32.532375;0.30240932;-2.3579543e-05;
32.583118;0.30234841;-6.3193176e-05;
32.633873;0.30247658;-2.5937497e-05;
32.68462;0.30243304;-3.7255679e-05;
32.735374;0.3023856;-3.6784088e-05;
32.786072;0.30244601;-9.4318166e-06;
32.836826;0.30232346;5.2818177e-05;
32.887569;0.30232835;-5.1403404e-05;
32.938324;0.30233008;-1.9806816e-05;
32.989071;0.30221388;1.697727e-05;
33.039825;0.30221364;-5.2346586e-05;
33.090569;0.302163;0.0001032784;
33.141277;0.30202624;3.0181815e-05;
33.19202;0.30208275;-8.4886351e-06;
33.242775;0.30200031;-3.1124997e-05;
33.293522;0.30193061;-6.1306811e-05;
33.344276;0.30181491;-3.3011358e-05;
33.39502;0.30183691;-2.3579543e-05;
33.445774;0.3017129;-1.7920453e-05;
33.496471;0.30146265;2.1693178e-05;
33.547218;0.30148074;-2.5465906e-05;
33.597973;0.30122024;-3.3011358e-05;
33.648716;0.30152357;-8.5357948e-05;
33.699471;0.30138829;-8.5357948e-05;
33.750217;0.30127087;-8.4886351e-06;
33.800972;0.30120924;2.9238632e-05;
33.851669;0.30117497;-4.4329539e-05;
33.902424;0.30121019;-3.0181815e-05;
33.953167;0.30101061;4.1971587e-05;
34.003922;0.30087557;3.3011361e-06;
34.054668;0.30085185;-5.8477264e-05;
34.105423;0.30105048;-2.6409089e-05;
34.156166;0.3009519;-5.1874995e-06;
34.206875;0.30060136;-1.6505679e-05;
34.257618;0.30082443;-1.6505679e-05;
34.308372;0.30068794;-4.2443176e-06;
34.359119;0.30064392;7.5454536e-06;
34.409874;0.30066717;-6.6965898e-05;
34.460617;0.30058813;-2.0278407e-05;
34.511372;0.30046242;-5.2346586e-05;
34.562069;0.30055952;1.131818e-05;
34.612816;0.30047905;6.130681e-06;
34.66357;0.30044651;-2.4051133e-05;
34.714314;0.30034548;-2.9238632e-05;
34.765068;0.30021927;-9.4318166e-06;
34.815815;0.30031931;2.1693178e-05;
34.86657;0.30012238;-6.6022716e-05;
34.917267;0.30025619;-0.00010374999;
34.968021;0.29996338;-8.2528401e-05;
35.018764;0.30003557;-5.8477264e-05;
35.069519;0.30016813;-1.3204544e-05;
35.120266;0.29992989;-3.6312496e-05;
35.171021;0.2998592;-5.2346586e-05;
35.221764;0.2997469;2.3579541e-06;
35.272472;0.29994285;-3.3011361e-06;
35.323215;0.29972073;0;
35.37397;0.29971877;-3.4426132e-05;
35.424717;0.29959157;-3.3482949e-05;
35.475471;0.2995221;-3.8198858e-05;
35.526215;0.29973197;2.5937497e-05;
35.576969;0.29946634;0.00010988067;
35.627666;0.29950497;9.5261355e-05;
35.678413;0.29933351;2.3579543e-05;
35.729168;0.29930219;-3.5840905e-05;
35.779911;0.29925597;-2.782386e-05;
35.830666;0.29920924;4.7159083e-06;
35.881413;0.29897219;8.9602263e-06;
35.932167;0.29896927;-0.00012261362;
35.982864;0.29907373;-2.6880678e-05;
36.033619;0.29894969;-3.6784088e-05;
36.084362;0.29886433;-8.0170448e-06;
36.135117;0.29877675;1.7920453e-05;
36.185863;0.29876208;-2.0278407e-05;
36.236618;0.29887876;9.9034078e-06;
36.287315;0.29867229;5.1874995e-06;
36.33807;0.29858375;8.2528401e-05;
36.388813;0.29858351;-4.7159083e-06;
36.439568;0.29856467;-3.4426132e-05;
36.490314;0.29850131;-2.1693178e-05;
36.541069;0.29845729;-2.1693178e-05;
36.591812;0.29846585;-1.7448861e-05;
36.642509;0.29844189;-5.7062494e-05;
36.693264;0.29842499;-9.4318166e-06;
36.744011;0.29838219;-3.5369314e-05;
36.794765;0.29826868;1.3676135e-05;
36.845509;0.29816544;-5.4232947e-05;
36.896263;0.2982063;-2.216477e-05;
36.94701;0.29811016;-1.6505679e-05;
36.997715;0.29808229;-6.1778403e-05;
37.048462;0.29820484;-4.5272722e-05;
37.099216;0.29795483;-3.1124997e-05;
37.14996;0.2978428;3.8670449e-05;
37.200714;0.29786775;5.1403404e-05;
37.251461;0.2979629;-2.9710223e-05;
37.302216;0.29798102;-4.7159087e-05;
37.352913;0.29790884;-0.00010092044;
37.403667;0.29783767;-7.0738628e-05;
37.454411;0.29770803;-2.3107952e-05;
37.505165;0.29773983;2.5937497e-05;
37.555912;0.29760748;1.3676135e-05;
37.606667;0.29753312;-3.2068179e-05;
37.65741;0.2975786;-3.253977e-05;
